,fold_1,fold_2,fold_3,fold_4,fold_5
DummyClassifier,0.0,0.0,0.0,0.0,0.0
LinearDiscriminantAnalysis,0.8137931034482757,0.8309859154929577,0.7972972972972974,0.8387096774193549,0.7945205479452054
QuadraticDiscriminantAnalysis,0.11774600504625736,0.11551724137931035,0.1050080775444265,0.12405699916177702,0.11083123425692695
LogisticRegression,0.6625766871165644,0.6887417218543045,0.7250000000000001,0.7012987012987013,0.6708074534161491
DecisionTreeClassifier,0.7532467532467534,0.7894736842105263,0.7843137254901961,0.7085714285714286,0.8051948051948051
KNeighborsClassifier,0.09756097560975609,0.1627906976744186,0.13953488372093026,0.13953488372093026,0.04938271604938272
SVC,0.0,0.0,0.0,0.0,0.0
RandomForestClassifier,0.8428571428571429,0.8467153284671534,0.8275862068965516,0.847682119205298,0.8611111111111112
ExtraTreesClassifier,0.8450704225352113,0.8633093525179857,0.8571428571428572,0.8533333333333334,0.8531468531468531
GaussianNB,0.21029082774049215,0.2519280205655527,0.22171945701357468,0.25892857142857145,0.23614457831325303
MLPClassifier,0.5565217391304348,0.5454545454545455,0.24528301886792456,0.048780487804878044,0.23747680890538034
PassiveAggressiveClassifier,0.024096385542168672,0.0,0.09638554216867469,0.0,0.0
