,fold_1,fold_2,fold_3,fold_4,fold_5
DummyClassifier,0.5942028985507246,0.5474452554744526,0.5468164794007492,0.4924242424242424,0.5114503816793894
LinearDiscriminantAnalysis,0.7849056603773584,0.7565543071161049,0.7581227436823106,0.7407407407407407,0.7518248175182481
QuadraticDiscriminantAnalysis,0.8100358422939068,0.6888888888888889,0.7346938775510204,0.7404844290657441,0.7576791808873721
LogisticRegression,0.791044776119403,0.7563636363636363,0.7285714285714285,0.7388059701492536,0.7527675276752768
DecisionTreeClassifier,0.7941176470588236,0.7560137457044674,0.6940298507462686,0.763888888888889,0.75177304964539
KNeighborsClassifier,0.6567164179104479,0.6715867158671587,0.6808510638297872,0.717391304347826,0.6816479400749064
SVC,0.7256097560975611,0.7108433734939757,0.698224852071006,0.7239263803680982,0.7009063444108761
RandomForestClassifier,0.8270676691729323,0.7822878228782287,0.7969924812030076,0.8185053380782918,0.8222996515679443
ExtraTreesClassifier,0.8581818181818183,0.7697841726618706,0.8,0.8172043010752689,0.8280701754385964
GaussianNB,0.751937984496124,0.6640625,0.7418181818181818,0.7527675276752767,0.7391304347826085
MLPClassifier,0.7755102040816326,0.7247386759581881,0.7397260273972602,0.7569444444444444,0.7409836065573772
PassiveAggressiveClassifier,0.6989795918367347,0.6972010178117048,0.7040498442367601,0.6972010178117048,0.694300518134715
